caseid,age,feelings_life,own_rent,hh_type,hh_size,self_rated_health,self_rated_mental_health,lives_with_partner,children_in_household
19197,53.9,10,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Excellent,No,No child
19198,34.7,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),3,Very good,Good,No,Two children
19199,48.3,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Very good,No,No child
19200,60.8,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
19201,75.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Excellent,No,No child
19202,52,9,"Owned by you or a member of this household, even if it i...",Other,1,Excellent,Excellent,No,No child
19203,32.2,7,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),3,Good,Good,No,One child
19204,54,7,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),2,Good,Good,No,No child
19205,25,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Very good,Excellent,No,No child
19206,51.8,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Good,Good,No,One child
19207,66.3,7,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),2,Good,Good,No,No child
19208,40.1,10,"Owned by you or a member of this household, even if it i...",Other,1,Excellent,Excellent,No,No child
19209,51.8,4,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Fair,No,No child
19210,80,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
19211,80,NA,"Owned by you or a member of this household, even if it i...",Single detached house,2,Poor,Fair,No,No child
19212,57,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
19213,26.3,6,"Rented, even if no cash rent is paid",Other,1,Fair,Very good,No,No child
19214,77.8,4,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Good,No,Two children
19215,57.4,7,"Rented, even if no cash rent is paid",Other,1,Fair,Excellent,No,No child
19216,66.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,Yes,No child
19217,15.5,4,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Fair,No,No child
19218,72.9,10,"Owned by you or a member of this household, even if it i...",Other,2,Fair,Good,No,No child
19219,37.8,10,"Owned by you or a member of this household, even if it i...",Single detached house,5,Excellent,Excellent,No,Three or more children
19220,49.2,10,"Rented, even if no cash rent is paid",Single detached house,2,Good,Good,No,No child
19221,79.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
19222,33.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Excellent,No,No child
19223,43.5,5,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,Fair,No,No child
19224,33.9,9,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Excellent,Yes,Two children
19225,58.4,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Excellent,No,No child
19226,21.6,6,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),5,Fair,Excellent,No,No child
19227,31.3,9,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),5,Very good,Excellent,No,One child
19228,73.7,10,"Owned by you or a member of this household, even if it i...",Other,2,Good,Excellent,No,No child
19229,75.8,6,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Fair,Excellent,No,No child
19230,36.3,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Very good,No,No child
19231,70,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
19232,75.2,5,"Owned by you or a member of this household, even if it i...",Single detached house,1,Poor,Fair,No,No child
19233,65.3,9,"Rented, even if no cash rent is paid",Other,1,Very good,Excellent,No,No child
19234,50.4,6,"Owned by you or a member of this household, even if it i...",Other,3,Good,Good,No,No child
19235,69.4,0,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Poor,Very good,No,No child
19236,43.1,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Very good,Very good,No,No child
19237,80,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Fair,Good,No,No child
19238,76.2,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Poor,Good,No,No child
19239,57.7,10,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),2,Very good,Very good,No,No child
19240,75.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Excellent,No,No child
19241,54.4,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Very good,Yes,No child
19242,51.2,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Poor,Good,Yes,No child
19243,46.8,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Excellent,Yes,No child
19244,47.7,7,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),1,Good,Very good,No,No child
19245,32.9,5,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),2,Very good,Good,Yes,No child
19246,53.8,5,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Good,No,No child
19247,33.5,8,"Rented, even if no cash rent is paid",Single detached house,6,Very good,Very good,Yes,Three or more children
19248,39.6,5,"Owned by you or a member of this household, even if it i...",Other,3,Fair,Fair,No,One child
19249,67.5,8,"Owned by you or a member of this household, even if it i...",Other,2,Good,Very good,No,No child
19250,31.3,5,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Excellent,No,No child
19251,66.9,9,"Rented, even if no cash rent is paid",Other,3,Good,Good,No,No child
19252,64.3,8,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),2,Very good,Excellent,Yes,No child
19253,61.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,"NA",Yes,No child
19254,34.5,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Very good,Yes,No child
19255,80,10,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Good,Good,No,No child
19256,69.1,5,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),2,Very good,Very good,No,No child
19257,46.4,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Good,No,Two children
19258,62.2,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Fair,No,No child
19259,63.5,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Excellent,Excellent,No,No child
19260,70.1,9,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),1,Excellent,Excellent,No,No child
19261,77.7,9,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Good,No,No child
19262,29,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,One child
19263,79.1,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
19264,61.9,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Excellent,No,No child
19265,70.3,10,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,Very good,Excellent,No,No child
19266,48.1,8,"Owned by you or a member of this household, even if it i...",Other,3,Good,Good,Yes,No child
19267,27.4,7,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,Excellent,Excellent,No,No child
19268,65.7,8,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),1,Excellent,Good,No,No child
19269,46.2,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
19270,54.9,8,"Rented, even if no cash rent is paid",Single detached house,5,Very good,Excellent,No,Three or more children
19271,40,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
19272,52.4,8,"Rented, even if no cash rent is paid",Single detached house,1,Very good,Good,No,No child
19273,57.7,6,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Good,No,No child
19274,52.1,7,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Good,No,No child
19275,67.1,6,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),1,Poor,Fair,No,No child
19276,36.6,8,"Rented, even if no cash rent is paid",Single detached house,5,Fair,Excellent,Yes,Three or more children
19277,54.2,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
19278,57,9,"Owned by you or a member of this household, even if it i...",Other,2,Fair,Good,No,No child
19279,22.5,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Very good,No,No child
19280,80,7,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Fair,Very good,No,No child
19281,45.5,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
19282,59.1,8,"Owned by you or a member of this household, even if it i...",Other,2,Excellent,Very good,No,No child
19283,60,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
19284,70.7,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),2,Very good,Excellent,No,No child
19285,61.3,5,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Good,No,No child
19286,64.1,9,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Good,No,No child
19287,55.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Excellent,No,No child
19288,60.3,9,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Very good,Very good,No,No child
19289,22.6,8,"Owned by you or a member of this household, even if it i...",Single detached house,5,Very good,Excellent,No,No child
19290,64.7,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,Yes,No child
19291,62.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
19292,28.9,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Very good,No,No child
19293,45.4,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Excellent,No,Two children
19294,49.6,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Very good,Good,No,No child
19295,27.3,8,"Owned by you or a member of this household, even if it i...",Other,2,Good,Good,Yes,No child
19296,69.3,10,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Very good,Very good,No,No child
19297,67.2,8,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Very good,No,No child
19298,70.2,5,"Owned by you or a member of this household, even if it i...",Single detached house,1,Poor,Very good,No,No child
19299,36.8,9,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),3,Very good,Very good,Yes,One child
19300,60.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,No child
19301,60.7,7,"Owned by you or a member of this household, even if it i...",Single detached house,6,Poor,Good,No,Two children
19302,74.1,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
19303,60.4,10,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Fair,Good,No,No child
19304,17.1,9,"Owned by you or a member of this household, even if it i...",Other,4,Good,Excellent,No,No child
19305,60.5,10,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,Excellent,Excellent,No,No child
19306,58,5,"Rented, even if no cash rent is paid",Single detached house,2,Good,Good,Yes,No child
19307,80,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,Good,No,No child
19308,63.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Poor,Fair,No,No child
19309,54.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,5,Very good,Very good,No,No child
19310,69.3,10,"Rented, even if no cash rent is paid",Single detached house,1,Excellent,Good,No,No child
19311,31.5,7,"Owned by you or a member of this household, even if it i...",Other,3,Very good,Good,No,One child
19312,34.1,6,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Excellent,No,No child
19313,73.1,6,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Fair,Good,No,No child
19314,22.6,6,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Good,Good,No,No child
19315,61.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,6,Very good,Excellent,No,Two children
19316,39.7,9,"Rented, even if no cash rent is paid",Other,4,Very good,Very good,No,Two children
19317,80,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Excellent,No,No child
19318,46.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,One child
19319,18.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,No child
19320,26.5,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Very good,No,No child
19321,41.2,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Good,No,No child
19322,47.8,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Very good,Very good,No,No child
19323,47.2,10,"Owned by you or a member of this household, even if it i...",Other,5,Excellent,Excellent,No,Three or more children
19324,80,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Good,Excellent,No,No child
19325,32.2,9,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),3,Excellent,Very good,No,One child
19326,61.9,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
19327,36.5,8,"Owned by you or a member of this household, even if it i...",Other,5,Very good,Very good,No,Two children
19328,41.4,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Excellent,No,No child
19329,43.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Very good,No,No child
19330,29.6,8,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Very good,No,No child
19331,55.2,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
19332,63.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
19333,62.8,4,"Owned by you or a member of this household, even if it i...",Other,1,Very good,Good,No,No child
19334,53.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,Yes,One child
19335,77.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Excellent,No,No child
19336,60.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Excellent,No,No child
19337,52.2,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,Yes,No child
19338,43.9,8,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),2,Excellent,Very good,No,No child
19339,78.6,NA,"NA","NA",2,"NA","NA",No,No child
19340,25.1,10,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),3,Excellent,Excellent,No,No child
19341,66.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Very good,No,No child
19342,39,9,"Owned by you or a member of this household, even if it i...",Single detached house,5,Excellent,Excellent,No,Three or more children
19343,24.2,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Excellent,No,No child
19344,60,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Excellent,No,No child
19345,57.5,6,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Good,No,No child
19346,64.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
19347,30.1,7,"Owned by you or a member of this household, even if it i...",Other,3,Very good,Very good,No,One child
19348,32.3,8,"Owned by you or a member of this household, even if it i...",Other,1,Very good,Very good,No,No child
19349,58.3,5,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
19350,46,NA,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Fair,"NA",No,No child
19351,55.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Excellent,No,No child
19352,33.5,10,"Owned by you or a member of this household, even if it i...",Other,3,Good,Very good,No,One child
19353,71,6,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,Good,No,No child
19354,60.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,Yes,No child
19355,63.2,7,"Rented, even if no cash rent is paid",Other,1,Very good,Excellent,No,No child
19356,66.8,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Very good,No,No child
19357,35.2,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Very good,Very good,No,No child
19358,51.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,Yes,No child
19359,64.8,10,"Owned by you or a member of this household, even if it i...",Other,2,Good,Good,Yes,No child
19360,46.7,7,"Rented, even if no cash rent is paid",Single detached house,1,Good,Good,No,No child
19361,52.3,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
19362,58.6,8,"Rented, even if no cash rent is paid",Single detached house,1,Very good,Very good,No,No child
19363,67.7,10,"Owned by you or a member of this household, even if it i...",Other,1,Very good,Excellent,No,No child
19364,64.8,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Very good,Good,No,No child
19365,62.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Excellent,No,No child
19366,42.7,10,"Rented, even if no cash rent is paid",Single detached house,1,Very good,Very good,No,No child
19367,48.8,8,"Owned by you or a member of this household, even if it i...",Other,4,Good,Good,No,One child
19368,24.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,No child
19369,17.1,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Excellent,Fair,No,No child
19370,39.8,7,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),2,Good,Very good,No,No child
19371,76.5,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Very good,No,No child
19372,29.9,9,"Owned by you or a member of this household, even if it i...",Other,3,Very good,Very good,Yes,No child
19373,64.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
19374,58.9,6,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,No child
19375,42.3,5,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Good,No,No child
19376,58.8,6,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),3,Good,Very good,No,No child
19377,80,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Good,No,No child
19378,80,10,"Rented, even if no cash rent is paid",Other,1,Good,Good,No,No child
19379,31.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Good,No,No child
19380,57.8,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
19381,80,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,Very good,No,No child
19382,80,8,"Rented, even if no cash rent is paid",Other,1,Good,Good,No,No child
19383,31.9,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,Yes,No child
19384,23.6,10,"Rented, even if no cash rent is paid",Other,1,Very good,Very good,No,No child
19385,31.7,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Good,Good,No,No child
19386,72.4,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
19387,67.5,7,"Rented, even if no cash rent is paid",Single detached house,1,Excellent,Very good,No,No child
19388,53.7,10,"NA",Single detached house,3,Excellent,Excellent,No,No child
19389,56.8,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,No child
19390,36.8,8,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,Good,Good,No,No child
19391,58.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
19392,52.4,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Good,No,No child
19393,57.5,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
19394,45.2,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Good,Yes,One child
19395,50.9,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Good,Fair,No,No child
19396,40.1,7,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,One child
19397,69.7,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
19398,69.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Good,No,No child
19399,74.7,10,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Poor,Poor,No,No child
19400,37.5,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Fair,Excellent,No,Two children
19401,64.1,7,"Rented, even if no cash rent is paid",Other,3,Very good,Very good,No,No child
19402,35.8,6,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Good,Very good,No,No child
19403,78.7,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Very good,No,No child
19404,57.1,7,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Excellent,No,No child
19405,57,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Very good,No,No child
19406,80,7,"Owned by you or a member of this household, even if it i...",Other,2,Fair,Excellent,No,No child
19407,69.8,6,"Owned by you or a member of this household, even if it i...",Single detached house,2,Poor,Poor,No,No child
19408,33.3,8,"Rented, even if no cash rent is paid",Single detached house,3,Good,Good,Yes,One child
19409,44.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,Yes,No child
19410,56.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
19411,74.8,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Good,No,No child
19412,34.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,Two children
19413,36.1,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,No child
19414,47.8,10,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Excellent,Excellent,No,No child
19415,43.3,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),3,Very good,Fair,No,Two children
19416,56.1,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Very good,No,No child
19417,35.3,7,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,Two children
19418,49.8,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,One child
19419,64,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
19420,45.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Excellent,No,No child
19421,74.2,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
19422,28.2,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
19423,45.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Good,No,One child
19424,51.2,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Good,No,No child
19425,35.3,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Very good,Good,No,No child
19426,42.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Good,No,One child
19427,46.7,NA,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,Yes,No child
19428,51.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,Two children
19429,38.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Very good,Yes,No child
19430,59.1,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
19431,56,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
19432,58.8,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Fair,Poor,No,No child
19433,41.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,One child
19434,19.4,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,No child
19435,64.4,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
19436,68.9,10,"NA",Other,1,Good,Good,No,No child
19437,59.2,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
19438,53.3,10,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Good,Good,No,No child
19439,68.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
19440,66.3,9,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,Fair,Very good,No,No child
19441,29.7,7,"Rented, even if no cash rent is paid",Other,6,Good,Fair,No,One child
19442,29.3,9,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Very good,No,No child
19443,38.1,6,"Rented, even if no cash rent is paid",Other,3,Good,"NA",No,Two children
19444,19.5,10,"Rented, even if no cash rent is paid",Other,4,Good,Very good,No,No child
19445,26.8,10,"Owned by you or a member of this household, even if it i...",Other,1,Excellent,Excellent,No,No child
19446,70.8,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Excellent,No,No child
19447,71.7,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Poor,Fair,No,No child
19448,49.5,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Good,No,No child
19449,58,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Very good,Excellent,No,No child
19450,71.6,8,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,Very good,Excellent,No,No child
19451,40.5,8,"Rented, even if no cash rent is paid",Single detached house,6,Poor,Very good,No,Three or more children
19452,51.7,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Fair,Good,No,Two children
19453,57.6,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),5,Fair,Good,Yes,Two children
19454,20.1,6,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,No child
19455,32.5,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,Yes,No child
19456,66.7,7,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,Good,Good,No,No child
19457,74.3,9,"Owned by you or a member of this household, even if it i...",Other,1,Very good,Very good,No,No child
19458,64.6,5,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,Good,No,No child
19459,53.4,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Good,No,Two children
19460,67.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
19461,55.8,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Good,No,No child
19462,22.3,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),3,Very good,Excellent,No,No child
19463,53.8,6,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,No child
19464,55.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Very good,Yes,No child
19465,80,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Very good,Excellent,No,No child
19466,21.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Excellent,No,No child
19467,77,9,"Rented, even if no cash rent is paid",Other,1,Good,Very good,No,No child
19468,80,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
19469,63.6,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,One child
19470,17.2,7,"Owned by you or a member of this household, even if it i...",Single detached house,5,Very good,Good,No,One child
19471,35.1,10,"Owned by you or a member of this household, even if it i...",Other,1,Very good,Very good,No,No child
19472,70.1,7,"Rented, even if no cash rent is paid",Other,2,Good,Fair,No,No child
19473,80,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Good,No,No child
19474,68.1,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
